dataset,CNN,MLP,RNN_LSTM
ETTm1,46.297937631607056,14.292141199111938,342.3189914226532
Electricity,37.025941610336304,10.875651121139526,215.04937744140625
Exchange-Rate,7.539594650268555,2.734971284866333,26.078710794448853
Weather,42.208654165267944,17.09822654724121,323.3053493499756
