dataset,CNN,MLP,RNN_LSTM
ETTm1,0.03539899688776414,0.04071147711395799,0.021755595203321095
Electricity,0.06289924810077904,0.09235952367517246,0.05375425805454726
Exchange-Rate,0.14788561050624835,0.13624138035231856,0.0618380110332797
Weather,0.02276963498300486,0.030413488596012225,0.011439845944770757
