dataset,CNN,MLP,RNN_LSTM
ETTm1,0.048084018265650605,0.05435191928587939,0.03559720407242818
Electricity,0.09300140797557856,0.12475806658299207,0.0809959761800721
Exchange-Rate,0.18348034930818366,0.18204240910047512,0.07702067705140352
Weather,0.04371124142986555,0.05590955774113854,0.0354268805739455
